OBJECTID	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	FROM_X	FROM_Y	NEAR_X	NEAR_Y
415	18	7	1616.898232	1	-3.5805649	40.4623628	-3.5800258	40.4769179
416	18	22	3039.8075	2	-3.5805649	40.4623628	-3.6163407	40.4607255
417	18	3	5560.328995	3	-3.5805649	40.4623628	-3.6392422	40.4400457
418	18	20	7646.047566	4	-3.5805649	40.4623628	-3.6605173	40.4942012
419	18	9	8166.100152	5	-3.5805649	40.4623628	-3.6453104	40.4079517
420	18	2	8298.001303	6	-3.5805649	40.4623628	-3.6773491	40.4514734
421	18	16	9182.049991	7	-3.5805649	40.4623628	-3.6887449	40.4655841
422	18	14	9643.390435	8	-3.5805649	40.4623628	-3.6903729	40.4398904
423	18	1	9749.7557	9	-3.5805649	40.4623628	-3.6823158	40.4215533
424	18	15	10154.46193	10	-3.5805649	40.4623628	-3.6824999	40.4144444
425	18	23	10181.27242	11	-3.5805649	40.4623628	-3.6897308	40.5005477
426	18	12	10206.88574	12	-3.5805649	40.4623628	-3.6515286	40.3881478
427	18	17	10277.29268	13	-3.5805649	40.4623628	-3.6121394	40.3730118
428	18	10	10897.23181	14	-3.5805649	40.4623628	-3.7071303	40.4455439
429	18	11	11245.97743	15	-3.5805649	40.4623628	-3.7115364	40.4782322
430	18	8	11452.47999	16	-3.5805649	40.4623628	-3.7031662	40.4192091
431	18	13	11498.15686	17	-3.5805649	40.4623628	-3.6868138	40.3980991
432	18	0	11961.87208	18	-3.5805649	40.4623628	-3.7122567	40.4238823
433	18	19	14535.81002	19	-3.5805649	40.4623628	-3.7187679	40.3850336
434	18	5	14869.07923	20	-3.5805649	40.4623628	-3.7318356	40.3947825
435	18	6	14934.03423	21	-3.5805649	40.4623628	-3.7473445	40.4193577
436	18	4	17049.10421	22	-3.5805649	40.4623628	-3.7133167	40.347147
437	18	21	17575.74698	23	-3.5805649	40.4623628	-3.7746101	40.5180701
438	19	5	1550.14301	1	-3.7187679	40.3850336	-3.7318356	40.3947825
439	19	13	3076.59484	2	-3.7187679	40.3850336	-3.6868138	40.3980991
440	19	8	4019.406331	3	-3.7187679	40.3850336	-3.7031662	40.4192091
441	19	4	4232.392971	4	-3.7187679	40.3850336	-3.7133167	40.347147
442	19	0	4349.118698	5	-3.7187679	40.3850336	-3.7122567	40.4238823
443	19	15	4488.378329	6	-3.7187679	40.3850336	-3.6824999	40.4144444
444	19	6	4517.956467	7	-3.7187679	40.3850336	-3.7473445	40.4193577
445	19	1	5101.001178	8	-3.7187679	40.3850336	-3.6823158	40.4215533
446	19	12	5719.774926	9	-3.7187679	40.3850336	-3.6515286	40.3881478
447	19	14	6550.897126	10	-3.7187679	40.3850336	-3.6903729	40.4398904
448	19	9	6735.646557	11	-3.7187679	40.3850336	-3.6453104	40.4079517
449	19	10	6791.433357	12	-3.7187679	40.3850336	-3.7071303	40.4455439
450	19	2	8172.310504	13	-3.7187679	40.3850336	-3.6773491	40.4514734
451	19	3	9103.736117	14	-3.7187679	40.3850336	-3.6392422	40.4400457
452	19	17	9152.7475	15	-3.7187679	40.3850336	-3.6121394	40.3730118
453	19	16	9300.341392	16	-3.7187679	40.3850336	-3.6887449	40.4655841
454	19	11	10367.22195	17	-3.7187679	40.3850336	-3.7115364	40.4782322
455	19	22	12091.46291	18	-3.7187679	40.3850336	-3.6163407	40.4607255
